iter	MultiClass
0	1.789732865
1	1.683263044
2	1.598715155
3	1.532597663
4	1.477355368
5	1.429223137
6	1.384812081
7	1.349651876
8	1.320408462
9	1.292667815
10	1.268038697
11	1.247304355
12	1.230826341
13	1.214019913
14	1.19798314
15	1.187089587
16	1.174087667
17	1.160242613
18	1.151785215
19	1.144208657
20	1.130791852
21	1.121937837
22	1.110704614
23	1.100785817
24	1.089975834
25	1.080439714
26	1.073817121
27	1.069373662
28	1.063821282
29	1.058860661
30	1.053137404
31	1.049950945
32	1.046681994
33	1.043016987
34	1.03932768
35	1.03578
36	1.030893859
37	1.028603472
38	1.024613735
39	1.021999295
40	1.019164721
41	1.017814905
42	1.016059596
43	1.013810353
44	1.010595242
45	1.008585548
46	1.005165966
47	1.002234885
48	1.00022792
49	0.9984391401
50	0.996543201
51	0.9946932483
52	0.9930770014
53	0.9923635433
54	0.9908267874
55	0.9887792333
56	0.9861102137
57	0.9849382256
58	0.9837733198
59	0.9825794313
60	0.9814079107
61	0.9799377117
62	0.9789294631
63	0.9766320751
64	0.9757461139
65	0.9742237602
66	0.9721816755
67	0.9713482329
68	0.9699121832
69	0.9692781603
70	0.9674364139
71	0.9663064185
72	0.9654761688
73	0.9647102612
74	0.9638682784
75	0.9622766623
76	0.9614051777
77	0.9610162819
78	0.959906962
79	0.9593960512
80	0.9579806147
81	0.9568047385
82	0.9560902382
83	0.9550547567
84	0.9539322895
85	0.9526428579
86	0.9516173657
87	0.9510646357
88	0.9504548015
89	0.9500016737
90	0.9492272054
91	0.948163171
92	0.9477287755
93	0.9462100079
94	0.9454682555
95	0.9447946524
96	0.9441585917
97	0.942976496
98	0.9416714297
99	0.9406368601
100	0.93992007
101	0.939322302
102	0.9385055761
103	0.9374913712
104	0.9366699712
105	0.9351754849
106	0.934455987
107	0.9336256725
108	0.9327467315
109	0.9320671103
110	0.9311107321
111	0.930260733
112	0.9294986404
113	0.9286352698
114	0.9282515963
115	0.9274974059
116	0.9264475599
117	0.9248269027
118	0.9239073763
119	0.9231312912
120	0.9225311559
121	0.9217369151
122	0.9208465529
123	0.9203054308
124	0.9196954571
125	0.9191477658
126	0.9183240794
127	0.9176224094
128	0.916996825
129	0.916520852
130	0.9157707545
131	0.9152995969
132	0.9143714044
133	0.9133764445
134	0.9130514162
135	0.9123506633
136	0.9112827483
137	0.9105668168
138	0.9100904653
139	0.9094148454
140	0.9084037134
141	0.9078248046
142	0.9071139961
143	0.9064476644
144	0.905567476
145	0.9047934983
146	0.9040534001
147	0.9031570502
148	0.9025836889
149	0.9016692052
150	0.9010905264
151	0.9005089606
152	0.8998983123
153	0.8994534119
154	0.8988303996
155	0.8982093907
156	0.8975703472
157	0.8969068693
158	0.8961433855
159	0.8947385306
160	0.8941998736
161	0.8935225179
162	0.8930368799
163	0.8924483311
164	0.8914352993
165	0.8911064811
166	0.8904768392
167	0.889914767
168	0.8890142951
169	0.8886162141
170	0.8882347303
171	0.8873149752
172	0.8866699994
173	0.885950951
174	0.8850632716
175	0.8845536266
176	0.8838722696
177	0.8827207864
178	0.88198249
179	0.8813785264
180	0.8807314912
181	0.8800969614
182	0.8792764663
183	0.8782851523
184	0.8771888112
185	0.8767367978
186	0.8761384531
187	0.8757998675
188	0.8753047287
189	0.8745227628
190	0.8739894243
191	0.8734764298
192	0.8728931181
193	0.8725531303
194	0.871785054
195	0.8711905551
196	0.8707130692
197	0.8702975562
198	0.8699556979
199	0.8692053607
200	0.8685467431
201	0.8681376973
202	0.8678649306
203	0.8666000512
204	0.8661096802
205	0.8658317411
206	0.8653286763
207	0.8645660224
208	0.8638565806
209	0.8632569027
210	0.8626977946
211	0.8620665193
212	0.8617889179
213	0.8614261742
214	0.860938713
215	0.8602525584
216	0.8597448861
217	0.8592994412
218	0.8590797067
219	0.8584234748
220	0.8577991546
221	0.8575629553
222	0.8565874125
223	0.8557211329
224	0.8549884862
225	0.8546705326
226	0.8540268364
227	0.8536578688
228	0.8529617446
229	0.8522350548
230	0.8517467281
231	0.8509435931
232	0.8503127698
233	0.8497479136
234	0.8489256476
235	0.8482933939
236	0.8475985265
237	0.8473850913
238	0.8466798417
239	0.8461687182
240	0.8457751156
241	0.8450135451
242	0.8441861117
243	0.8435503287
244	0.8431009127
245	0.8424455706
246	0.8417300204
247	0.840993686
248	0.8405740292
249	0.8401952539
250	0.8393511041
251	0.8383096165
252	0.8379387461
253	0.8374287153
254	0.8369345234
255	0.8365604109
256	0.8363287106
257	0.8358886767
258	0.8352590787
259	0.8345602591
260	0.8338775725
261	0.8335360829
262	0.8330131817
263	0.8324152894
264	0.8316746758
265	0.8309842877
266	0.8304516767
267	0.8298812978
268	0.8294024036
269	0.8287696853
270	0.8285284033
271	0.8280553159
272	0.8275300751
273	0.8272334955
274	0.8268098033
275	0.8262268434
276	0.8257264974
277	0.8255088662
278	0.825186466
279	0.82477587
280	0.8242316837
281	0.8238657881
282	0.8234628372
283	0.82283135
284	0.8223061972
285	0.8214666179
286	0.82070352
287	0.8200529592
288	0.8199170259
289	0.8197365948
290	0.819365767
291	0.8188036763
292	0.8184589831
293	0.8181924805
294	0.8179561494
295	0.8174894891
296	0.8172556708
297	0.8171233571
298	0.8166768314
299	0.8159482138
300	0.8154058757
301	0.8147331771
302	0.8142887378
303	0.8135438825
304	0.8131939736
305	0.8127405831
306	0.8120758821
307	0.8115332371
308	0.8112056891
309	0.8107837048
310	0.8105075321
311	0.8100496935
312	0.809524685
313	0.808979134
314	0.8084228829
315	0.8078195965
316	0.8072351536
317	0.8066222505
318	0.8058695058
319	0.8055683853
320	0.804992374
321	0.8042586339
322	0.8034784567
323	0.8031395472
324	0.8026967795
325	0.8019878334
326	0.8017470177
327	0.801112743
328	0.8005364387
329	0.7999525735
330	0.7996510898
331	0.799188039
332	0.7984091607
333	0.7980193904
334	0.7977398758
335	0.7972858632
336	0.7964452734
337	0.7958698548
338	0.7955776362
339	0.7952401319
340	0.7946667402
341	0.7943444803
342	0.7935557363
343	0.7930550207
344	0.7924600877
345	0.7919796778
346	0.7914379369
347	0.7910722001
348	0.7906324802
349	0.790253211
350	0.7898777086
351	0.7893835996
352	0.7890013755
