iter	Passed	Remaining
0	44	43968
1	72	36292
2	101	33722
3	128	32007
4	153	30569
5	176	29306
6	203	28834
7	228	28318
8	256	28294
9	284	28129
10	309	27783
11	334	27575
12	358	27220
13	383	27006
14	409	26872
15	441	27169
16	466	26987
17	493	26898
18	519	26797
19	545	26722
20	571	26637
21	599	26640
22	625	26590
23	655	26677
24	680	26521
25	704	26396
26	729	26296
27	753	26157
28	781	26173
29	806	26086
30	835	26125
31	866	26205
32	893	26181
33	919	26115
34	948	26142
35	975	26113
36	999	26025
37	1026	25982
38	1050	25886
39	1075	25823
40	1101	25769
41	1128	25732
42	1154	25696
43	1178	25615
44	1202	25516
45	1226	25433
46	1250	25351
47	1277	25330
48	1304	25321
49	1330	25273
50	1354	25203
51	1380	25160
52	1409	25193
53	1433	25116
54	1458	25061
55	1484	25027
56	1509	24966
57	1532	24897
58	1559	24868
59	1596	25007
60	1619	24928
61	1645	24899
62	1669	24828
63	1696	24812
64	1722	24772
65	1749	24757
66	1777	24746
67	1805	24740
68	1828	24670
69	1853	24631
70	1879	24592
71	1904	24544
72	1935	24578
73	1981	24791
74	2008	24772
75	2035	24752
76	2060	24694
77	2085	24649
78	2109	24596
79	2134	24550
80	2159	24505
81	2184	24458
82	2208	24403
83	2234	24365
84	2294	24698
85	2330	24765
86	2359	24757
87	2385	24718
88	2465	25234
89	2515	25429
90	2549	25470
91	2576	25430
92	2600	25364
93	2626	25312
94	2649	25240
95	2673	25171
96	2696	25102
97	2720	25041
98	2742	24962
99	2767	24908
100	2789	24833
101	2815	24785
102	2838	24722
103	2863	24665
104	2889	24628
105	2913	24570
106	2940	24538
107	2966	24503
108	2994	24476
109	3018	24423
110	3042	24366
111	3067	24320
112	3104	24368
113	3132	24343
114	3158	24303
115	3183	24261
116	3206	24202
117	3230	24147
118	3256	24108
119	3283	24079
120	3308	24036
121	3332	23985
122	3356	23933
123	3380	23885
124	3403	23827
125	3426	23771
126	3451	23727
127	3473	23666
128	3498	23622
129	3521	23565
130	3547	23529
131	3573	23496
132	3599	23462
133	3623	23419
134	3647	23371
135	3670	23318
136	3696	23288
137	3720	23240
138	3744	23195
139	3769	23153
140	3794	23114
141	3819	23077
142	3843	23031
143	3871	23011
144	3895	22968
145	3919	22924
146	3946	22897
147	3972	22868
148	3999	22840
149	4022	22792
150	4048	22760
151	4071	22716
152	4095	22673
153	4119	22628
154	4143	22589
155	4169	22557
156	4197	22539
157	4226	22523
158	4253	22498
159	4279	22468
160	4306	22440
161	4333	22414
162	4359	22385
163	4384	22349
164	4408	22311
165	4431	22266
166	4456	22226
167	4480	22190
168	4509	22172
169	4534	22140
170	4559	22102
171	4582	22058
172	4604	22013
173	4631	21986
174	4658	21959
175	4680	21913
176	4706	21883
177	4730	21843
178	4753	21801
179	4777	21765
180	4801	21727
181	4828	21699
182	4856	21683
183	4882	21651
184	4907	21620
185	4934	21594
186	4960	21564
187	4983	21523
188	5007	21488
189	5033	21458
190	5057	21419
191	5082	21387
192	5105	21346
193	5129	21310
194	5151	21267
195	5180	21249
196	5203	21211
197	5226	21171
198	5249	21128
199	5273	21092
200	5296	21055
201	5328	21048
202	5359	21042
203	5388	21026
204	5414	20996
205	5436	20954
206	5460	20918
207	5487	20894
208	5511	20860
209	5536	20827
210	5558	20786
211	5585	20760
212	5608	20721
213	5632	20686
214	5657	20655
215	5682	20623
216	5707	20592
217	5732	20562
218	5756	20527
219	5781	20497
220	5805	20463
221	5828	20426
222	5852	20392
223	5879	20368
224	5902	20332
225	5927	20298
226	5953	20272
227	5978	20241
228	6003	20212
229	6029	20185
230	6052	20148
231	6075	20113
232	6101	20086
233	6127	20057
234	6150	20023
235	6196	20060
236	6231	20063
237	6260	20044
238	6285	20012
239	6309	19978
240	6331	19940
241	6357	19913
242	6383	19886
243	6409	19859
244	6441	19851
245	6471	19834
246	6498	19812
247	6523	19780
248	6547	19746
249	6573	19720
250	6600	19695
251	6624	19663
252	6647	19626
253	6756	19842
254	6816	19913
255	6849	19906
256	6878	19887
257	6909	19871
258	6933	19835
259	6956	19799
260	6982	19769
261	7008	19741
262	7033	19709
263	7057	19675
264	7081	19641
265	7107	19613
266	7134	19585
267	7159	19554
268	7183	19520
269	7208	19490
270	7230	19449
271	7254	19416
272	7280	19387
273	7303	19350
274	7329	19322
275	7355	19295
276	7383	19271
277	7405	19233
278	7430	19202
279	7455	19171
280	7478	19136
281	7502	19101
282	7529	19077
283	7569	19082
284	7596	19058
285	7626	19038
286	7651	19009
287	7677	18979
288	7699	18941
289	7722	18906
290	7747	18875
291	7773	18847
292	7801	18824
293	7824	18790
294	7847	18753
295	7870	18718
296	7893	18683
297	7915	18647
298	7940	18617
299	7966	18587
300	7991	18557
301	8014	18523
302	8039	18493
303	8066	18467
304	8089	18434
305	8115	18406
306	8140	18374
307	8163	18340
308	8188	18312
309	8212	18278
310	8234	18243
311	8258	18212
312	8283	18180
313	8309	18154
314	8335	18125
315	8361	18099
316	8385	18067
317	8411	18040
318	8437	18012
319	8459	17976
320	8482	17943
321	8507	17912
322	8532	17882
323	8555	17850
324	8579	17819
325	8606	17792
326	8629	17759
327	8658	17739
328	8689	17721
329	8716	17697
330	8742	17669
331	8768	17641
332	8794	17614
333	8817	17581
334	8843	17554
335	8868	17525
336	8892	17495
337	8920	17470
338	8942	17437
339	8967	17406
340	8991	17377
341	9016	17346
342	9043	17321
343	9066	17290
344	9090	17258
345	9113	17226
346	9139	17199
347	9162	17166
348	9190	17142
349	9216	17115
350	9240	17085
351	9264	17055
352	9288	17025
353	9312	16994
354	9336	16963
355	9362	16936
356	9387	16907
357	9412	16878
358	9435	16847
359	9460	16817
360	9487	16793
361	9512	16765
362	9538	16737
363	9564	16712
364	9590	16684
365	9613	16653
366	9640	16628
367	9665	16598
368	9691	16573
369	9716	16543
370	9740	16514
371	9764	16484
372	9793	16462
373	9820	16437
374	9846	16411
375	9873	16385
376	9898	16357
377	9923	16329
378	9947	16298
379	9972	16270
380	9997	16242
381	10028	16223
382	10063	16212
383	10085	16179
384	10108	16146
385	10130	16114
386	10155	16085
387	10178	16054
388	10202	16024
389	10224	15992
390	10255	15973
391	10280	15944
392	10304	15915
393	10329	15888
394	10355	15861
395	10391	15850
396	10415	15820
397	10442	15794
398	10468	15767
399	10494	15741
400	10518	15712
401	10544	15685
402	10568	15656
403	10594	15629
404	10619	15601
405	10643	15571
406	10669	15544
407	10693	15516
408	10719	15489
409	10741	15457
410	10764	15427
411	10792	15403
412	10817	15375
413	10842	15347
414	10864	15315
415	10890	15288
416	10914	15259
417	10949	15245
418	10973	15215
419	11000	15191
420	11027	15166
421	11050	15136
422	11085	15120
423	11109	15092
424	11135	15065
425	11158	15035
426	11182	15006
427	11209	14980
428	11232	14950
429	11256	14921
430	11284	14898
431	11309	14869
432	11332	14839
433	11357	14811
434	11384	14786
435	11411	14762
436	11437	14735
437	11464	14709
438	11490	14683
439	11516	14657
440	11543	14631
441	11568	14604
442	11593	14576
443	11615	14546
444	11640	14517
445	11666	14491
446	11694	14467
447	11720	14441
448	11746	14415
449	11774	14390
450	11800	14365
451	11824	14335
452	11846	14304
453	11871	14277
454	11896	14249
455	11923	14225
456	11950	14199
457	11977	14174
458	11999	14143
459	12024	14115
460	12057	14097
461	12086	14075
462	12111	14046
463	12138	14021
464	12163	13994
465	12187	13965
466	12215	13942
467	12239	13913
468	12262	13883
469	12287	13856
470	12313	13830
471	12336	13799
472	12359	13770
473	12391	13751
474	12416	13723
475	12442	13697
476	12470	13672
477	12495	13645
478	12519	13617
479	12541	13586
480	12564	13556
481	12587	13528
482	12612	13500
483	12639	13474
484	12663	13447
485	12688	13419
486	12713	13392
487	12738	13365
488	12762	13336
489	12789	13311
490	12813	13282
491	12843	13261
492	12874	13239
493	12899	13212
494	12923	13184
495	12947	13156
496	12972	13128
497	12994	13099
498	13026	13079
499	13057	13057
500	13085	13033
501	13110	13006
502	13133	12977
503	13160	12951
504	13188	12927
505	13218	12904
506	13247	12881
507	13276	12857
508	13302	12832
509	13325	12803
510	13349	12774
511	13374	12747
512	13398	12719
513	13423	12691
514	13448	12665
515	13474	12639
516	13497	12609
517	13523	12583
518	13548	12556
519	13572	12528
520	13599	12502
521	13625	12477
522	13648	12448
523	13673	12420
524	13697	12392
525	13720	12364
526	13742	12334
527	13766	12306
528	13790	12278
529	13814	12250
530	13838	12222
531	13859	12192
532	13883	12164
533	13909	12138
534	13936	12112
535	13960	12085
536	13984	12057
537	14009	12030
538	14034	12003
539	14060	11977
540	14084	11949
541	14107	11921
542	14144	11904
543	14191	11895
544	14228	11879
545	14257	11854
546	14281	11827
547	14312	11805
548	14343	11782
549	14373	11759
550	14398	11732
551	14423	11705
552	14444	11676
553	14473	11651
554	14502	11627
555	14524	11599
556	14548	11570
557	14570	11541
558	14594	11513
559	14618	11485
560	14644	11459
561	14669	11433
562	14697	11408
563	14725	11383
564	14749	11356
565	14772	11327
566	14796	11299
567	14818	11270
568	14848	11247
569	14873	11220
570	14899	11194
571	14925	11168
572	14951	11142
573	14977	11115
574	15001	11087
575	15025	11060
576	15050	11033
577	15074	11005
578	15098	10978
579	15122	10950
580	15147	10923
581	15200	10916
582	15233	10896
583	15262	10871
584	15285	10843
585	15311	10817
586	15334	10788
587	15357	10760
588	15383	10734
589	15414	10711
590	15438	10684
591	15466	10659
592	15493	10634
593	15520	10608
594	15548	10583
595	15574	10557
596	15598	10529
597	15625	10503
598	15650	10476
599	15676	10450
600	15703	10425
601	15795	10442
602	15852	10436
603	15889	10417
604	15921	10394
605	15946	10367
606	15969	10339
607	15996	10313
608	16022	10287
609	16050	10261
610	16073	10233
611	16096	10205
612	16121	10177
613	16146	10150
614	16170	10122
615	16195	10095
616	16219	10068
617	16244	10041
618	16271	10015
619	16296	9988
620	16322	9961
621	16347	9934
622	16369	9906
623	16391	9877
624	16416	9849
625	16444	9824
626	16467	9796
627	16491	9768
628	16514	9740
629	16541	9714
630	16569	9689
631	16598	9664
632	16625	9639
633	16653	9613
634	16680	9587
635	16708	9562
636	16732	9535
637	16759	9509
638	16783	9481
639	16809	9455
640	16834	9428
641	16858	9400
642	16884	9374
643	16910	9348
644	16935	9321
645	16958	9293
646	16982	9265
647	17006	9238
648	17030	9210
649	17053	9182
650	17078	9155
651	17102	9128
652	17129	9102
653	17154	9075
654	17179	9048
655	17202	9021
656	17225	8992
657	17249	8965
658	17273	8938
659	17295	8909
660	17318	8882
661	17341	8854
662	17364	8826
663	17388	8798
664	17415	8773
665	17440	8746
666	17463	8718
667	17488	8691
668	17510	8663
669	17538	8638
670	17562	8611
671	17584	8582
672	17610	8556
673	17634	8529
674	17660	8503
675	17687	8477
676	17711	8450
677	17741	8426
678	17766	8399
679	17793	8373
680	17820	8347
681	17845	8321
682	17869	8293
683	17895	8267
684	17923	8242
685	17949	8215
686	17973	8188
687	17996	8161
688	18023	8135
689	18050	8109
690	18074	8082
691	18099	8055
692	18124	8029
693	18150	8002
694	18175	7976
695	18198	7948
696	18221	7921
697	18245	7894
698	18269	7867
699	18291	7839
700	18315	7812
701	18341	7786
702	18368	7760
703	18393	7733
704	18418	7706
705	18442	7679
706	18465	7652
707	18488	7625
708	18513	7598
709	18538	7572
710	18563	7545
711	18587	7518
712	18612	7492
713	18638	7466
714	18662	7439
715	18685	7411
716	18710	7384
717	18732	7357
718	18761	7332
719	18787	7306
720	18813	7280
721	18840	7254
722	18872	7230
723	18896	7203
724	18923	7177
725	18949	7151
726	18972	7124
727	18998	7098
728	19022	7071
729	19048	7045
730	19073	7018
731	19101	6993
732	19125	6966
733	19150	6940
734	19174	6913
735	19196	6885
736	19223	6859
737	19249	6833
738	19273	6807
739	19296	6779
740	19322	6753
741	19348	6727
742	19378	6702
743	19401	6675
744	19427	6649
745	19451	6622
746	19474	6595
747	19499	6569
748	19525	6543
749	19548	6516
750	19576	6490
751	19600	6464
752	19626	6437
753	19652	6411
754	19676	6385
755	19698	6357
756	19724	6331
757	19751	6305
758	19776	6279
759	19797	6251
760	19822	6225
761	19845	6198
762	19870	6171
763	19895	6145
764	19920	6119
765	19950	6094
766	19975	6068
767	20001	6042
768	20027	6016
769	20055	5990
770	20081	5964
771	20104	5937
772	20130	5911
773	20157	5885
774	20185	5860
775	20210	5834
776	20235	5807
777	20264	5782
778	20287	5755
779	20313	5729
780	20340	5703
781	20364	5677
782	20388	5650
783	20413	5624
784	20439	5598
785	20464	5571
786	20486	5544
787	20511	5518
788	20537	5492
789	20559	5465
790	20584	5438
791	20607	5412
792	20633	5386
793	20656	5359
794	20682	5333
795	20710	5307
796	20737	5281
797	20763	5255
798	20787	5229
799	20812	5203
800	20841	5177
801	20866	5151
802	20891	5125
803	20915	5098
804	20940	5072
805	20966	5046
806	20993	5020
807	21019	4994
808	21044	4968
809	21068	4941
810	21094	4915
811	21120	4889
812	21148	4864
813	21178	4839
814	21205	4813
815	21230	4787
816	21253	4760
817	21280	4734
818	21307	4708
819	21337	4683
820	21362	4657
821	21386	4631
822	21411	4604
823	21435	4578
824	21459	4551
825	21482	4525
826	21506	4498
827	21529	4472
828	21553	4445
829	21575	4419
830	21599	4392
831	21623	4366
832	21645	4339
833	21671	4313
834	21696	4287
835	21721	4261
836	21746	4234
837	21771	4208
838	21794	4182
839	21818	4155
840	21844	4129
841	21869	4103
842	21893	4077
843	21923	4052
844	21948	4026
845	21975	4000
846	22003	3974
847	22031	3949
848	22058	3923
849	22085	3897
850	22113	3871
851	22139	3845
852	22165	3819
853	22193	3794
854	22222	3768
855	22250	3743
856	22277	3717
857	22306	3691
858	22332	3665
859	22355	3639
860	22383	3613
861	22410	3587
862	22434	3561
863	22457	3535
864	22482	3508
865	22507	3482
866	22531	3456
867	22557	3430
868	22585	3404
869	22611	3378
870	22635	3352
871	22660	3326
872	22686	3300
873	22713	3274
874	22736	3248
875	22763	3222
876	22788	3196
877	22813	3169
878	22838	3143
879	22869	3118
880	22893	3092
881	22921	3066
882	22945	3040
883	22971	3014
884	22994	2988
885	23019	2961
886	23043	2935
887	23068	2909
888	23095	2883
889	23122	2857
890	23147	2831
891	23170	2805
892	23204	2780
893	23232	2754
894	23261	2729
895	23290	2703
896	23317	2677
897	23348	2652
898	23374	2626
899	23401	2600
900	23427	2574
901	23453	2548
902	23487	2522
903	23515	2497
904	23539	2470
905	23565	2444
906	23587	2418
907	23612	2392
908	23637	2366
909	23663	2340
910	23691	2314
911	23721	2288
912	23747	2262
913	23771	2236
914	23796	2210
915	23822	2184
916	23847	2158
917	23872	2132
918	23899	2106
919	23924	2080
920	23950	2054
921	23976	2028
922	24001	2002
923	24028	1976
924	24059	1950
925	24083	1924
926	24113	1898
927	24138	1872
928	24163	1846
929	24190	1820
930	24214	1794
931	24236	1768
932	24264	1742
933	24295	1716
934	24320	1690
935	24357	1665
936	24384	1639
937	24410	1613
938	24438	1587
939	24463	1561
940	24488	1535
941	24513	1509
942	24538	1483
943	24565	1457
944	24592	1431
945	24623	1405
946	24648	1379
947	24674	1353
948	24699	1327
949	24727	1301
950	24753	1275
951	24779	1249
952	24806	1223
953	24834	1197
954	24858	1171
955	24883	1145
956	24909	1119
957	24933	1093
958	24958	1067
959	24983	1040
960	25009	1014
961	25032	988
962	25057	962
963	25085	936
964	25109	910
965	25138	884
966	25165	858
967	25191	832
968	25217	806
969	25243	780
970	25269	754
971	25293	728
972	25321	702
973	25345	676
974	25374	650
975	25399	624
976	25425	598
977	25455	572
978	25489	546
979	25517	520
980	25545	494
981	25573	468
982	25598	442
983	25627	416
984	25654	390
985	25682	364
986	25709	338
987	25737	312
988	25762	286
989	25791	260
990	25815	234
991	25839	208
992	25865	182
993	25887	156
994	25912	130
995	25936	104
996	25964	78
997	25989	52
998	26016	26
999	26042	0
